SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Emma2_Blank_AMW_R1_T2,46,Emma2,Blank,AMW,R1,T2,06092021_1200pm,2700,45,0.163,,
Emma2_Blank_AMW_R2_T2,47,Emma2,Blank,AMW,R2,T2,06092021_1200pm,2700,45,0.22,,
Emma2_Blank_AMW_R3_T2,48,Emma2,Blank,AMW,R3,T2,06092021_1200pm,2700,45,0.307,,
Laura1_Blank_AMW_R1_T2,49,Laura1,Blank,AMW,R1,T2,06092021_1200pm,2700,45,0.124,,
Laura1_Blank_AMW_R2_T2,50,Laura1,Blank,AMW,R2,T2,06092021_1200pm,2700,45,0.13,,
Laura1_Blank_AMW_R3_T2,51,Laura1,Blank,AMW,R3,T2,06092021_1200pm,2700,45,0.125,,
Laura2_Blank_AMW_R1_T2,52,Laura2,Blank,AMW,R1,T2,06092021_1200pm,2700,45,0.191,,
Laura2_Blank_AMW_R2_T2,53,Laura2,Blank,AMW,R2,T2,06092021_1200pm,2700,45,0.161,,
Laura2_Blank_AMW_R3_T2,54,Laura2,Blank,AMW,R3,T2,06092021_1200pm,2700,45,0.137,,
Blank_DCPET_AMW_R1_T2,55,Blank,DCPET,AMW,R1,T2,06092021_1200pm,2700,45,0.038,,
Blank_DCPET_AMW_R2_T2,56,Blank,DCPET,AMW,R2,T2,06092021_1200pm,2700,45,0.038,,
Blank_DCPET_AMW_R3_T2,57,Blank,DCPET,AMW,R3,T2,06092021_1200pm,2700,45,0.038,,
Blank_TPA_BH_R1_T2,58,Blank,TPA,BH,R1,T2,06092021_1200pm,2700,45,0.068,,
Blank_TPA_BH_R2_T2,59,Blank,TPA,BH,R2,T2,06092021_1200pm,2700,45,0.086,,
Blank_TPA_BH_R3_T2,60,Blank,TPA,BH,R3,T2,06092021_1200pm,2700,45,0.102,,
Blank_DCPET_BH_R1_T2,61,Blank,DCPET,BH,R1,T2,06092021_1200pm,2700,45,0.07,,
Blank_DCPET_BH_R2_T2,62,Blank,DCPET,BH,R2,T2,06092021_1200pm,2700,45,0.063,,
Blank_DCPET_BH_R3_T2,63,Blank,DCPET,BH,R3,T2,06092021_1200pm,2700,45,0.067,,
Blank_DCPET_ARW_R1_T2,64,Blank,DCPET,ARW,R1,T2,06092021_1200pm,2700,45,0.039,,
Blank_DCPET_ARW_R2_T2,65,Blank,DCPET,ARW,R2,T2,06092021_1200pm,2700,45,0.04,,
Blank_DCPET_ARW_R3_T2,66,Blank,DCPET,ARW,R3,T2,06092021_1200pm,2700,45,0.042,,
Emma2_TPA_BH_R1_T2,67,Emma2,TPA,BH,R1,T2,06092021_1200pm,2700,45,0.583,,
Emma2_TPA_BH_R2_T2,68,Emma2,TPA,BH,R2,T2,06092021_1200pm,2700,45,0.862,,
Emma2_TPA_BH_R3_T2,69,Emma2,TPA,BH,R3,T2,06092021_1200pm,2700,45,0.59,,
Laura1_TPA_BH_R1_T2,70,Laura1,TPA,BH,R1,T2,06092021_1200pm,2700,45,1.536,,
Laura1_TPA_BH_R2_T2,71,Laura1,TPA,BH,R2,T2,06092021_1200pm,2700,45,0.568,,
Laura1_TPA_BH_R3_T2,72,Laura1,TPA,BH,R3,T2,06092021_1200pm,2700,45,0.61,,
Laura2_TPA_BH_R1_T2,73,Laura2,TPA,BH,R1,T2,06092021_1200pm,2700,45,0.462,,
Laura2_TPA_BH_R2_T2,74,Laura2,TPA,BH,R2,T2,06092021_1200pm,2700,45,0.398,,
